OBJECTIVE	iPad 2 running iOS 5 vs Windows 8 Slate: http://t.co/OAod3Vll WP7 OS 7 HP touchpad sale icoud cydia leak iphone 5 images Web OS _19	
OBJECTIVE	RT @JASApplications: 16 Year #iPhone #iPod #iPad #App #Developer - http://t.co/1SPsLZU View #iOS #Apps in the @AppStore - http://t.co/VB ...	
OBJECTIVE	Nike   iPod Sport Kit (NEWEST VERSION) [Retail Packaging]:   Nike   iPod Sport Kit (NEWEST VERSION) [Retail Pack... http://t.co/1pbvMWSr	
POSITIVE	Australia Dominates iPad Newspaper Rankings - http://t.co/iAIM6uA8	
OBJECTIVE	@JusLuvBRI_ which iPhone you have?	
POSITIVE	@__mylove ora sono dall'ipod, appena sono al pc lo faccio ;)	
OBJECTIVE	Is anyone else not getting notifications on iPhone twitter app? #twitter	
OBJECTIVE	Sony Tablet S review: http://t.co/1cXoqQAQ Android Honeycomb WP7 mango download windows 8 usb boot MIUI ios 5 iphone 5 leak ipad 3 _73	
POSITIVE	@wahwatt I was vex yes *shrugs* got a new one though iPod classic which holds way more songs so I'm good. Trust it to involve food LOL	
POSITIVE	Hahaha Siri on the new iPhone will totally give u a list of where to hide dead bodies.....love it	
OBJECTIVE	Firefox 7 available for download: http://t.co/5h8VRP8F os x lion macbook air review download windows 8 boot usb jailbreak ios 4.3 _8	
OBJECTIVE	Norah Jones and Coldplay Help Apple Celebrate Steve Jobs' Life [Aerial Video of Event] http://t.co/KF8QMXFZ	
OBJECTIVE	Check out this rental listing I found using the RentFaster.ca Iphone app: http://t.co/Dxo75e0A	
OBJECTIVE	Eagle Galaxy Design Protective Decal Skin Sticker for Apple iPad 2nd Gen Tablet E-Reader: Protect your for Apple... http://t.co/saUvoeMF	
POSITIVE	I'm real happy with my iPhone so far, y'all. Be tweetin up a storm here in a minute.	
OBJECTIVE	Apple iOS 5 vs. Windows Phone Mango vs. Android: http://t.co/24NNZyie windows 8 boot usb WP7 mango iphone 4S iphone 5 keynote MIUI _11	
OBJECTIVE	RT @MySwagQuote: you may listen to your favorite song a million times on your ipod, but when it's on the radio, it's a COMPLETELY differ ...	
OBJECTIVE	Siri lets anyone use a locked iPhone 4S http://t.co/TuJysupt	
OBJECTIVE	@Deadlymage marware ipad http://t.co/0lIkJPwm Gui41	
OBJECTIVE	@ismailnathij Crap! I did change that default Signature in my iPhone, but forgot to change it in my iPad.	
NEGATIVE	I dislike iOS5 at the moment.... still gettin used to it cos I just updated my iPod a few hours ago and I've been usin my phone alot more	
POSITIVE	The day I didn't bring my beats and iPod. I'm pissed...	
NEGATIVE	@Cocoanetics: I got a problem with iPhone's silent switch on iOS 5 on SOF.  I'd be grateful if you'd help me out :) http://t.co/3IjLALsk	
OBJECTIVE	It costs 196 dollars to make a #apple #iphone4s.. Estimated Wholesale is $649!! Crazyyy http://t.co/szHW6FDl	
POSITIVE	RT @SarzGriffiths: @lynandjoyce my iphone has been ordered!! :-D&gt; HOOOOO HAPPPY DAY *fist pumps air, bum flicks and clicks heels together*	
OBJECTIVE	RT @singlyinc: RT @rstephens If you wonder if Google,Apple,or Facebook will win identity war: Customer will. With @Singlyinc 's help.	
OBJECTIVE	how to send apps between 2 iphone by Bluetooth? http://t.co/YxMNGRNV #iphone	
OBJECTIVE	Apple employees celebrate Jobs, stores close - BusinessWeek http://t.co/JCYNDlBt #technews	
OBJECTIVE	Apple employees celebrate Jobs, stores close - BusinessWeek: New York TimesApple employees celeb... http://t.co/WS9xmfPp #TeamFollowBack	
POSITIVE	@appleindo iphone is the best dah :D #iloveiphone	
NEGATIVE	@SonjaBarfoed I'd hate to see what they do to the IPad!	
OBJECTIVE	POODLE 30/40/60G IPOD HOLDER:  http://t.co/996lN3JK	
OBJECTIVE	@yummyBlackie @Vickiie12 iphone 3GS looo :p	
OBJECTIVE	RT to #win an #iPad2 from @makobiscribe & Friends #giveaway Enter here: http://t.co/9qikgCVd	
NEGATIVE	Looks like I shall be forking over $50 for apple to replace ipod battery. Fuck you apple. See that's why we ain't cool all like that.	
OBJECTIVE	is ELITE on Global War Online on my iPhone! Click the link to join my squad http://t.co/vxAF5L3d #iphone #ipod #ipad #Global War #GWO	
OBJECTIVE	"If you're dyslexic in Aberystwyth University, you get a free Apple Mac and Ipod to ""help"" you with your studies. Absolute bullshit. Test me."	
OBJECTIVE	Crystal Case for Apple iPhone - Green:  http://t.co/SzYjQIoq	
